item_id,order_id,product_id,product_name,category,quantity,unit_price,line_total,discount_pct,discount_amount,final_price
ITEM00000001,ORD000001,P0253,Colgate Maxfresh 150g,Personal Care,1,105,105,0,0.0,105.0
ITEM00000002,ORD000001,P0251,Sunsilk Shampoo 650ml,Personal Care,1,295,295,0,0.0,295.0
ITEM00000003,ORD000002,P0104,Sunfeast Dark Fantasy 300g,Snacks & Munchies,1,110,110,0,0.0,110.0
ITEM00000004,ORD000002,P0108,Parle 20-20 Cashew Cookies 400g,Snacks & Munchies,1,55,55,0,0.0,55.0
ITEM00000005,ORD000003,P0253,Colgate Maxfresh 150g,Personal Care,1,105,105,0,0.0,105.0
ITEM00000006,ORD000003,P0271,Dettol Antiseptic Liquid 550ml,Personal Care,1,195,195,0,0.0,195.0
ITEM00000007,ORD000003,P0106,Hide & Seek 240g,Snacks & Munchies,1,50,50,0,0.0,50.0
ITEM00000008,ORD000003,P0133,Quaker Oats 1kg,Breakfast & Instant Food,1,185,185,0,0.0,185.0
ITEM00000009,ORD000003,P0277,Pampers Baby Diapers M 18pc,Baby Care,2,595,1190,10,119.0,1071.0
ITEM00000010,ORD000004,P0188,Saffola Gold Oil 1L,"Masala, Oil & More",1,250,250,0,0.0,250.0
ITEM00000011,ORD000004,P0234,Good Knight Activ+ Refill 45ml,Cleaning & Household,2,115,230,10,23.0,207.0
ITEM00000012,ORD000004,P0036,Coriander Leaves 100g,Fruits & Vegetables,1,15,15,0,0.0,15.0
ITEM00000013,ORD000005,P0169,MDH Garam Masala 100g,"Masala, Oil & More",2,90,180,0,0.0,180.0
ITEM00000014,ORD000005,P0095,Doritos Nacho Cheese 150g,Snacks & Munchies,1,75,75,10,7.5,67.5
ITEM00000015,ORD000006,P0098,Haldirams Moong Dal 200g,Snacks & Munchies,1,55,55,5,2.75,52.25
ITEM00000016,ORD000006,P0158,Kabuli Chana 500g,"Atta, Rice & Dal",1,95,95,0,0.0,95.0
ITEM00000017,ORD000006,P0210,Bru Instant Coffee 50g,"Tea, Coffee & Health Drinks",1,175,175,5,8.75,166.25
ITEM00000018,ORD000006,P0166,Poha Thick 500g,"Atta, Rice & Dal",1,45,45,0,0.0,45.0
ITEM00000019,ORD000007,P0067,Mountain Dew 750ml,Cold Drinks & Juices,2,40,80,0,0.0,80.0
ITEM00000020,ORD000007,P0097,Haldirams Aloo Bhujia 200g,Snacks & Munchies,2,50,100,0,0.0,100.0
ITEM00000021,ORD000008,P0156,Tata Sampann Urad Dal 500g,"Atta, Rice & Dal",1,90,90,0,0.0,90.0
ITEM00000022,ORD000008,P0271,Dettol Antiseptic Liquid 550ml,Personal Care,1,195,195,0,0.0,195.0
ITEM00000023,ORD000009,P0096,Pringles Original 107g,Snacks & Munchies,1,130,130,0,0.0,130.0
ITEM00000024,ORD000009,P0265,Lakmé Face Cream 60g,Personal Care,1,295,295,0,0.0,295.0
ITEM00000025,ORD000010,P0023,Amul Kool Milk Drink 200ml,"Dairy, Bread & Eggs",1,20,20,0,0.0,20.0
ITEM00000026,ORD000010,P0133,Quaker Oats 1kg,Breakfast & Instant Food,1,185,185,5,9.25,175.75
ITEM00000027,ORD000010,P0016,Amul Processed Cheese Block 200g,"Dairy, Bread & Eggs",1,110,110,0,0.0,110.0
ITEM00000028,ORD000010,P0108,Parle 20-20 Cashew Cookies 400g,Snacks & Munchies,1,55,55,0,0.0,55.0
ITEM00000029,ORD000011,P0098,Haldirams Moong Dal 200g,Snacks & Munchies,1,55,55,0,0.0,55.0
ITEM00000030,ORD000011,P0068,Thums Up 2.25L,Cold Drinks & Juices,1,95,95,0,0.0,95.0
ITEM00000031,ORD000012,P0243,Lifebuoy Soap 125g (4 pack),Personal Care,2,115,230,0,0.0,230.0
ITEM00000032,ORD000013,P0240,Dettol Handwash 750ml,Cleaning & Household,1,155,155,10,15.5,139.5
ITEM00000033,ORD000013,P0204,Tata Tea Gold 1kg,"Tea, Coffee & Health Drinks",2,490,980,0,0.0,980.0
ITEM00000034,ORD000013,P0192,Nutella Hazelnut Spread 350g,Sauces & Spreads,2,385,770,0,0.0,770.0
ITEM00000035,ORD000013,P0146,India Gate Basmati Rice 1kg,"Atta, Rice & Dal",1,190,190,0,0.0,190.0
ITEM00000036,ORD000014,P0121,Yippee Magic Masala 240g,Breakfast & Instant Food,1,42,42,0,0.0,42.0
ITEM00000037,ORD000014,P0190,Amul Pure Ghee 500ml,"Masala, Oil & More",1,340,340,0,0.0,340.0
