order_id,order_datetime,order_date,order_hour,day_of_week,day_type,is_peak_hour,store_id,store_name,store_area,store_lat,store_lon,customer_lat,customer_lon,distance_km,num_items,order_value,delivery_charge,total_amount,prep_time_mins,delivery_time_mins,delivery_status,customer_rating,payment_method
ORD000001,2024-12-23 11:53:00,2024-12-23,11,Monday,Weekday,0,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.039694,80.20886,2.81,2,275,0,275,4.2,14.6,Delivered,4.5,UPI
ORD000002,2024-12-05 21:32:49,2024-12-05,21,Thursday,Weekday,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.05632,80.221349,2.14,2,560,0,560,3.3,12.2,Delivered,4.4,UPI
ORD000003,2024-11-21 17:59:20,2024-11-21,17,Thursday,Weekday,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.911881,80.106666,2.62,5,555,0,555,2.5,14.0,Delivered,4.1,UPI
ORD000004,2024-12-27 10:51:01,2024-12-27,10,Friday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.989855,80.236277,2.35,3,200,0,200,1.8,13.4,Delivered,4.4,Card
ORD000005,2025-01-05 22:54:33,2025-01-05,22,Sunday,Weekend,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.902669,80.149011,3.28,2,230,0,230,3.7,12.4,Delivered,4.0,Card
ORD000006,2025-01-11 11:08:17,2025-01-11,11,Saturday,Weekend,0,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.913095,80.227172,1.34,4,1615,0,1615,3.0,7.2,Delivered,4.6,UPI
ORD000007,2024-12-07 13:01:33,2024-12-07,13,Saturday,Weekend,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.886359,80.231529,1.67,2,250,0,250,2.2,8.0,Delivered,4.7,UPI
ORD000008,2024-11-01 16:50:34,2024-11-01,16,Friday,Weekday,0,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.916315,80.253449,3.31,2,335,0,335,2.4,16.4,Delivered,4.2,Card
ORD000009,2025-01-12 23:45:58,2025-01-12,23,Sunday,Weekend,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.964564,80.223105,2.34,2,230,0,230,2.1,13.6,Delivered,4.5,Card
ORD000010,2025-01-09 07:04:54,2025-01-09,7,Thursday,Weekday,1,DS009,Porur Hub,Porur,13.0358,80.1559,13.043535,80.136488,2.32,4,337,0,337,3.4,13.8,Delivered,4.3,Cash on Delivery
ORD000011,2024-12-29 20:46:21,2024-12-29,20,Sunday,Weekend,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.005628,80.256177,0.3,2,92,25,117,4.2,5.1,Delivered,4.9,UPI
ORD000012,2025-01-04 16:31:58,2025-01-04,16,Saturday,Weekend,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,12.994541,80.272468,2.17,1,40,25,65,2.4,8.2,Delivered,5.0,UPI
ORD000013,2024-11-08 12:14:26,2024-11-08,12,Friday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.907644,80.214439,1.67,4,158,25,183,3.8,10.8,Delivered,4.6,UPI
ORD000014,2024-12-04 00:38:37,2024-12-04,0,Wednesday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.083506,80.22516,1.89,4,370,0,370,3.3,10.3,Delivered,4.4,UPI
ORD000015,2024-11-21 21:19:35,2024-11-21,21,Thursday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.995439,80.234771,2.72,3,378,0,378,2.3,16.1,Delivered,4.1,UPI
ORD000016,2024-12-27 11:20:15,2024-12-27,11,Friday,Weekday,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.018397,80.247686,1.67,4,134,25,159,2.5,9.1,Delivered,4.8,UPI
ORD000017,2025-01-03 11:56:15,2025-01-03,11,Friday,Weekday,0,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.927103,80.227729,2.9,4,520,0,520,2.1,14.3,Delivered,4.5,UPI
ORD000018,2024-12-13 07:12:31,2024-12-13,7,Friday,Weekday,1,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.086863,80.197996,1.19,1,20,25,45,2.6,7.2,Delivered,4.6,UPI
ORD000019,2024-11-22 19:00:17,2024-11-22,19,Friday,Weekday,1,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.098849,80.204579,1.31,4,465,0,465,3.6,10.5,Delivered,4.8,UPI
ORD000020,2024-12-31 17:06:22,2024-12-31,17,Tuesday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.107736,80.230392,3.27,3,365,0,365,4.0,15.9,Delivered,3.9,UPI
ORD000021,2024-12-08 08:40:40,2024-12-08,8,Sunday,Weekend,1,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.917672,80.13672,1.18,3,315,0,315,1.8,7.9,Delivered,4.8,Cash on Delivery
ORD000022,2024-11-13 16:10:02,2024-11-13,16,Wednesday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.975341,80.251338,1.78,2,200,0,200,3.5,11.3,Delivered,4.7,Cash on Delivery
ORD000023,2024-11-29 08:48:18,2024-11-29,8,Friday,Weekday,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.037246,80.248843,1.71,3,116,25,141,2.2,13.3,Delivered,4.4,Cash on Delivery
ORD000024,2024-11-22 05:16:22,2024-11-22,5,Friday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.965351,80.263269,2.2,1,14,25,39,3.8,11.3,Delayed,3.0,UPI
ORD000025,2024-12-29 06:38:57,2024-12-29,6,Sunday,Weekend,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.109349,80.20097,2.54,1,125,25,150,3.0,10.0,Delivered,4.8,Cash on Delivery
ORD000026,2024-12-07 19:39:04,2024-12-07,19,Saturday,Weekend,1,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.058471,80.240258,3.63,2,205,0,205,2.5,25.7,Cancelled,,UPI
ORD000027,2024-12-15 07:35:07,2024-12-15,7,Sunday,Weekend,1,DS011,Vadapalani Hub,Vadapalani,13.0502,80.2121,13.048821,80.223255,1.25,2,130,25,155,2.5,8.7,Delivered,5.0,UPI
ORD000028,2024-11-14 22:28:16,2024-11-14,22,Thursday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.992761,80.246163,3.4,4,319,0,319,2.2,13.5,Delivered,4.2,UPI
ORD000029,2024-12-13 19:36:16,2024-12-13,19,Friday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.984585,80.26441,3.46,4,250,0,250,4.0,24.0,Delayed,2.7,Card
ORD000030,2025-01-03 20:07:04,2025-01-03,20,Friday,Weekday,1,DS012,Thiruvanmiyur Hub,Thiruvanmiyur,12.983,80.2595,12.997837,80.253311,1.78,4,238,0,238,3.6,12.9,Delivered,4.1,Card
ORD000031,2024-12-16 07:31:07,2024-12-16,7,Monday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.943106,80.235548,2.2,3,565,0,565,2.9,12.7,Delivered,4.1,UPI
ORD000032,2024-11-27 11:29:55,2024-11-27,11,Wednesday,Weekday,0,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.021267,80.250299,2.9,5,585,0,585,4.0,11.3,Delivered,4.1,UPI
ORD000033,2025-01-10 17:16:22,2025-01-10,17,Friday,Weekday,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.907967,80.108102,2.72,4,725,0,725,3.4,13.3,Delivered,4.0,UPI
ORD000034,2025-01-09 12:30:00,2025-01-09,12,Thursday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.962125,80.255262,1.27,5,536,0,536,2.6,7.3,Delivered,4.9,Card
ORD000035,2024-12-10 08:12:13,2024-12-10,8,Tuesday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.952123,80.255564,1.63,6,594,0,594,2.4,13.9,Delivered,4.4,UPI
ORD000036,2025-01-23 13:16:14,2025-01-23,13,Thursday,Weekday,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.002859,80.271855,1.68,5,250,0,250,4.2,6.9,Delivered,4.9,UPI
ORD000037,2024-11-27 06:50:42,2024-11-27,6,Wednesday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.948564,80.232828,3.21,5,685,0,685,2.5,13.9,Delivered,4.2,UPI
ORD000038,2024-12-23 19:30:25,2024-12-23,19,Monday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.950225,80.25618,1.82,1,45,25,70,3.8,13.9,Delivered,4.1,Card
ORD000039,2024-11-26 18:49:37,2024-11-26,18,Tuesday,Weekday,0,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.022785,80.273416,1.78,5,375,0,375,3.7,14.5,Delivered,4.7,UPI
ORD000040,2024-11-22 14:49:11,2024-11-22,14,Friday,Weekday,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.9271,80.11921,1.03,2,95,25,120,2.7,6.6,Delivered,5.0,UPI
ORD000041,2024-12-30 11:35:05,2024-12-30,11,Monday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.994775,80.238459,2.91,3,236,0,236,3.8,10.5,Delivered,4.6,UPI
ORD000042,2024-11-13 21:29:58,2024-11-13,21,Wednesday,Weekday,1,DS011,Vadapalani Hub,Vadapalani,13.0502,80.2121,13.037252,80.226186,2.12,4,317,0,317,3.9,13.1,Delivered,4.4,UPI
ORD000043,2025-01-21 14:01:21,2025-01-21,14,Tuesday,Weekday,0,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.018127,80.240329,2.97,3,250,0,250,2.9,12.8,Delivered,4.2,UPI
ORD000044,2025-01-25 07:32:15,2025-01-25,7,Saturday,Weekend,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.982022,80.198902,2.59,3,860,0,860,3.7,15.1,Delivered,3.8,UPI
ORD000045,2025-01-21 20:37:01,2025-01-21,20,Tuesday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.882921,80.2214,2.13,2,395,0,395,2.8,15.4,Delivered,4.1,Card
ORD000046,2025-01-12 13:43:47,2025-01-12,13,Sunday,Weekend,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.959595,80.269411,2.84,3,97,25,122,2.8,13.2,Delivered,4.2,UPI
ORD000047,2024-12-21 07:14:34,2024-12-21,7,Saturday,Weekend,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,12.980599,80.235943,3.74,4,295,0,295,2.7,22.8,Delivered,4.0,Card
