product_id,product_name,category,price,mrp,shelf_life_days,storage_type,demand_frequency,weight_grams,in_stock
P0001,Amul Taaza Toned Milk 500ml,"Dairy, Bread & Eggs",28,31.14,10,Refrigerated,High,500,True
P0002,Amul Taaza Toned Milk 1L,"Dairy, Bread & Eggs",56,61.79,10,Refrigerated,High,200,True
P0003,Amul Gold Full Cream Milk 500ml,"Dairy, Bread & Eggs",32,35.72,7,Refrigerated,High,500,True
P0004,Amul Gold Full Cream Milk 1L,"Dairy, Bread & Eggs",64,73.09,7,Refrigerated,High,200,True
P0005,Heritage Fresh Milk 500ml,"Dairy, Bread & Eggs",30,30.54,10,Refrigerated,High,500,True
P0006,Nandini Milk 500ml,"Dairy, Bread & Eggs",26,29.49,3,Refrigerated,Medium,500,True
P0007,Amul Fresh Cream 250ml,"Dairy, Bread & Eggs",85,97.28,10,Refrigerated,High,500,True
P0008,Amul Masti Curd 400g,"Dairy, Bread & Eggs",32,35.68,5,Refrigerated,High,200,True
P0009,Mother Dairy Curd 400g,"Dairy, Bread & Eggs",30,31.26,10,Refrigerated,High,200,True
P0010,Nestle Dahi 400g,"Dairy, Bread & Eggs",35,35.58,3,Refrigerated,High,200,True
P0011,Amul Salted Butter 100g,"Dairy, Bread & Eggs",56,62.87,7,Refrigerated,High,200,True
P0012,Amul Salted Butter 500g,"Dairy, Bread & Eggs",270,308.81,3,Refrigerated,Medium,200,True
P0013,Britannia Butter 100g,"Dairy, Bread & Eggs",54,59.07,5,Refrigerated,High,200,True
P0014,Amul Cheese Slices 200g,"Dairy, Bread & Eggs",130,146.62,3,Refrigerated,Medium,200,True
P0015,Britannia Cheese Slices 200g,"Dairy, Bread & Eggs",125,135.0,10,Refrigerated,Medium,200,True
P0016,Amul Processed Cheese Block 200g,"Dairy, Bread & Eggs",110,113.22,10,Refrigerated,High,200,True
P0017,Mother Dairy Paneer 200g,"Dairy, Bread & Eggs",95,105.66,3,Refrigerated,Medium,200,True
P0018,Amul Fresh Paneer 200g,"Dairy, Bread & Eggs",90,101.01,10,Refrigerated,High,200,True
P0019,Nandini Paneer 200g,"Dairy, Bread & Eggs",85,85.34,5,Refrigerated,High,200,True
P0020,Farm Fresh White Eggs 6 pcs,"Dairy, Bread & Eggs",48,49.51,3,Refrigerated,High,500,True
P0021,Farm Fresh Brown Eggs 6 pcs,"Dairy, Bread & Eggs",60,61.18,3,Refrigerated,High,500,True
P0022,Farm Fresh White Eggs 10 pcs,"Dairy, Bread & Eggs",75,84.81,5,Refrigerated,High,500,True
P0023,Amul Kool Milk Drink 200ml,"Dairy, Bread & Eggs",20,21.65,10,Refrigerated,High,500,True
P0024,Amul Lassi 200ml,"Dairy, Bread & Eggs",25,27.87,10,Refrigerated,High,500,True
P0025,Mother Dairy Mishti Doi 400g,"Dairy, Bread & Eggs",42,42.46,10,Refrigerated,Medium,200,True
P0026,Britannia Bread Large,"Dairy, Bread & Eggs",40,42.58,3,Refrigerated,High,200,True
P0027,Modern Bread Sandwich,"Dairy, Bread & Eggs",45,50.81,3,Refrigerated,Medium,200,True
P0028,Harvest Gold Bread,"Dairy, Bread & Eggs",42,45.76,7,Refrigerated,High,200,True
P0029,English Oven Brown Bread,"Dairy, Bread & Eggs",50,52.19,3,Refrigerated,High,200,False
P0030,Onion 1kg,Fruits & Vegetables,35,36.75,2,Ambient,High,1000,True
P0031,Tomato 1kg,Fruits & Vegetables,45,47.25,2,Ambient,High,1000,True
P0032,Potato 1kg,Fruits & Vegetables,28,29.4,2,Ambient,High,1000,True
P0033,Green Chilli 100g,Fruits & Vegetables,15,15.75,4,Ambient,High,1000,True
P0034,Ginger 200g,Fruits & Vegetables,40,42.0,2,Ambient,High,1000,True
P0035,Garlic 250g,Fruits & Vegetables,55,57.75,4,Ambient,High,1000,True
P0036,Coriander Leaves 100g,Fruits & Vegetables,15,15.75,4,Refrigerated,High,1000,True
