inventory_id,store_id,store_area,store_demand_level,product_id,product_name,category,price,demand_frequency,storage_type,current_stock,optimal_stock,reorder_point,stock_status,avg_daily_sales,total_sold_90days,num_orders_90days,stockout_incidents,days_until_stockout,last_restock_date,inventory_value
INV00000001,DS001,T Nagar,High,P0001,Amul Taaza Toned Milk 500ml,"Dairy, Bread & Eggs",28,High,Refrigerated,10,10,3,In Stock,1.3,117,80,2,7.7,2026-02-13,280
INV00000002,DS001,T Nagar,High,P0002,Amul Taaza Toned Milk 1L,"Dairy, Bread & Eggs",56,High,Refrigerated,6,10,3,In Stock,1.49,134,87,0,4.0,2026-02-14,336
INV00000003,DS001,T Nagar,High,P0003,Amul Gold Full Cream Milk 500ml,"Dairy, Bread & Eggs",32,High,Refrigerated,9,9,3,In Stock,1.46,131,84,2,6.2,2026-02-14,288
INV00000004,DS001,T Nagar,High,P0004,Amul Gold Full Cream Milk 1L,"Dairy, Bread & Eggs",64,High,Refrigerated,10,10,3,In Stock,1.48,133,82,0,6.8,2026-02-14,640
INV00000005,DS001,T Nagar,High,P0005,Heritage Fresh Milk 500ml,"Dairy, Bread & Eggs",30,High,Refrigerated,8,9,3,In Stock,1.42,128,89,0,5.6,2026-02-10,240
INV00000006,DS001,T Nagar,High,P0006,Nandini Milk 500ml,"Dairy, Bread & Eggs",26,Medium,Refrigerated,3,5,3,Low Stock,0.42,38,29,1,7.1,2026-02-11,78
INV00000007,DS001,T Nagar,High,P0007,Amul Fresh Cream 250ml,"Dairy, Bread & Eggs",85,High,Refrigerated,6,9,3,In Stock,1.3,117,85,1,4.6,2026-02-12,510
INV00000008,DS001,T Nagar,High,P0008,Amul Masti Curd 400g,"Dairy, Bread & Eggs",32,High,Refrigerated,7,9,3,In Stock,1.43,129,90,0,4.9,2026-02-10,224
INV00000009,DS001,T Nagar,High,P0009,Mother Dairy Curd 400g,"Dairy, Bread & Eggs",30,High,Refrigerated,8,8,3,In Stock,1.24,112,82,1,6.5,2026-02-10,240
INV00000010,DS001,T Nagar,High,P0010,Nestle Dahi 400g,"Dairy, Bread & Eggs",35,High,Refrigerated,4,9,3,In Stock,1.33,120,82,2,3.0,2026-02-14,140
INV00000011,DS001,T Nagar,High,P0011,Amul Salted Butter 100g,"Dairy, Bread & Eggs",56,High,Refrigerated,4,8,3,In Stock,1.24,112,72,1,3.2,2026-02-13,224
INV00000012,DS001,T Nagar,High,P0012,Amul Salted Butter 500g,"Dairy, Bread & Eggs",270,Medium,Refrigerated,4,5,3,In Stock,0.39,35,24,1,10.3,2026-02-10,1080
INV00000013,DS001,T Nagar,High,P0013,Britannia Butter 100g,"Dairy, Bread & Eggs",54,High,Refrigerated,4,7,3,In Stock,1.16,104,74,0,3.4,2026-02-12,216
INV00000014,DS001,T Nagar,High,P0014,Amul Cheese Slices 200g,"Dairy, Bread & Eggs",130,Medium,Refrigerated,2,5,3,Low Stock,0.66,59,37,2,3.0,2026-02-09,260
INV00000015,DS001,T Nagar,High,P0015,Britannia Cheese Slices 200g,"Dairy, Bread & Eggs",125,Medium,Refrigerated,4,5,3,In Stock,0.53,48,33,0,7.5,2026-02-14,500
